DATE,PITGND01JPM661N
1985-05-01,96.8367139959432
1985-06-01,96.8367139959432
1985-07-01,96.8367139959432
1985-08-01,96.7426977687627
1985-09-01,96.7426977687627
1985-10-01,96.4606490872211
1985-11-01,96.27261663286
1985-12-01,96.4606490872211
1986-01-01,96.27261663286
1986-02-01,96.1786004056795
1986-03-01,96.084584178499
1986-04-01,95.4264705882353
1986-05-01,95.5204868154158
1986-06-01,95.1444219066937
1986-07-01,95.0504056795132
1986-08-01,94.6743407707911
1986-09-01,94.5803245436106
1986-10-01,93.9222109533469
1986-11-01,94.0162271805274
1986-12-01,94.1102434077079
1987-01-01,93.5461460446248
1987-02-01,93.3581135902637
1987-03-01,93.4521298174442
1987-04-01,93.2640973630832
1987-05-01,93.1700811359026
1987-06-01,93.1700811359026
1987-07-01,93.0760649087221
1987-08-01,93.1700811359026
1987-09-01,93.1700811359026
1987-10-01,93.1700811359026
1987-11-01,92.9820486815416
1987-12-01,93.0760649087221
1988-01-01,92.511967545639
1988-02-01,92.6059837728195
1988-03-01,92.6059837728195
1988-04-01,91.8538539553752
1988-05-01,91.8538539553752
1988-06-01,91.8538539553752
1988-07-01,92.0418864097363
1988-08-01,92.0418864097363
1988-09-01,92.2299188640974
1988-10-01,91.9478701825558
1988-11-01,91.6658215010142
1988-12-01,91.6658215010142
1989-01-01,91.3837728194726
1989-02-01,91.9478701825558
1989-03-01,92.1359026369168
1989-04-01,92.1359026369168
1989-05-01,92.511967545639
1989-06-01,92.7940162271805
1989-07-01,92.7
1989-08-01,92.6059837728195
1989-09-01,92.7
1989-10-01,92.511967545639
1989-11-01,92.511967545639
1989-12-01,92.6059837728195
1990-01-01,92.7
1990-02-01,92.888032454361
1990-03-01,93.0760649087221
1990-04-01,92.9820486815416
1990-05-01,92.9820486815416
1990-06-01,93.3581135902637
1990-07-01,93.6401622718053
1990-08-01,94.0162271805274
1990-09-01,94.48630831643
1990-10-01,95.0504056795132
1990-11-01,95.2384381338742
1990-12-01,95.2384381338742
1991-01-01,95.0504056795132
1991-02-01,95.2384381338742
1991-03-01,95.5204868154158
1991-04-01,95.3324543610548
1991-05-01,95.5204868154158
1991-06-01,95.5204868154158
1991-07-01,95.5204868154158
1991-08-01,95.5204868154158
1991-09-01,95.6145030425964
1991-10-01,95.7085192697769
1991-11-01,95.8965517241379
1991-12-01,96.084584178499
1992-01-01,96.084584178499
1992-02-01,96.4606490872211
1992-03-01,96.4606490872211
1992-04-01,96.4606490872211
1992-05-01,96.4606490872211
1992-06-01,96.3666328600406
1992-07-01,96.3666328600406
1992-08-01,96.4606490872211
1992-09-01,96.5546653144016
1992-10-01,96.27261663286
1992-11-01,96.1786004056795
1992-12-01,96.27261663286
1993-01-01,95.8965517241379
1993-02-01,95.8025354969574
1993-03-01,95.6145030425964
1993-04-01,95.5204868154158
1993-05-01,95.3324543610548
1993-06-01,95.0504056795132
1993-07-01,94.9563894523327
1993-08-01,94.5803245436106
